"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2022","772.20","815.54","816.93","721.00","3.21B","-4.73%"
"04/01/2022","810.50","793.30","849.55","789.80","2.51B","2.40%"
"03/01/2022","791.47","778.83","797.63","743.87","3.28B","1.41%"
"02/01/2022","780.49","791.57","805.26","752.97","2.60B","-1.50%"
"01/01/2022","792.38","799.76","815.38","769.15","2.93B","-1.52%"
"12/01/2021","804.60","736.29","805.81","728.64","2.87B","9.95%"
"11/01/2021","731.76","741.73","762.74","731.00","2.34B","-1.26%"
"10/01/2021","741.09","716.49","746.87","708.40","2.26B","3.71%"
"09/01/2021","714.58","749.32","755.83","714.58","2.44B","-4.49%"
"08/01/2021","748.14","739.25","757.76","730.55","2.08B","1.28%"
"07/01/2021","738.72","722.47","743.21","715.58","2.24B","2.37%"
"06/01/2021","721.62","728.10","734.48","706.08","2.52B","-0.53%"
"05/01/2021","725.46","714.58","735.28","712.86","2.35B","1.65%"
"04/01/2021","713.69","699.18","723.68","693.03","2.50B","2.03%"
"03/01/2021","699.46","654.41","711.65","644.47","3.42B","7.71%"
"02/01/2021","649.39","660.00","682.92","649.09","2.45B","-1.50%"
"01/01/2021","659.25","695.33","695.97","659.03","2.88B","-5.32%"
"12/01/2020","696.32","689.49","697.47","681.62","2.57B","1.45%"
"11/01/2020","686.37","649.05","698.78","644.94","2.52B","7.34%"
"10/01/2020","639.46","660.64","687.66","632.13","2.28B","-2.99%"
"09/01/2020","659.14","671.07","691.92","636.10","3.06B","-1.85%"
"08/01/2020","671.53","641.64","673.88","637.33","2.24B","4.60%"
"07/01/2020","642.01","601.36","645.40","601.14","2.76B","6.77%"
"06/01/2020","601.33","605.92","623.19","582.49","3.65B","-0.73%"
"05/01/2020","605.78","593.99","608.30","572.99","3.22B","1.38%"
"04/01/2020","597.56","544.62","623.70","542.43","3.48B","6.64%"
"03/01/2020","560.33","598.39","650.33","491.31","5.55B","-5.86%"
"02/01/2020","595.21","650.63","665.58","575.44","2.60B","-8.18%"
"01/01/2020","648.25","647.79","660.84","637.09","2.49B","0.20%"
"12/01/2019","646.97","633.46","651.63","630.15","2.27B","2.03%"
"11/01/2019","634.09","628.39","635.90","619.03","2.25B","1.08%"
"10/01/2019","627.29","629.94","631.63","613.23","2.55B","-0.33%"
"09/01/2019","629.38","619.43","632.38","615.25","2.62B","1.31%"
"08/01/2019","621.27","613.19","626.33","589.58","2.97B","1.64%"
"07/01/2019","611.23","600.41","627.34","597.00","2.40B","2.33%"
"06/01/2019","597.34","571.14","607.81","570.45","1.49B","4.81%"
"05/01/2019","569.93","594.18","598.27","568.98","","-3.99%"
"04/01/2019","593.64","580.90","594.15","568.64","","2.33%"
"03/01/2019","580.11","561.29","580.64","551.88","","3.67%"
