"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2013","157.90","155.07","161.78","152.60","","1.86%"
"05/01/2013","155.01","167.63","168.43","155.01","","-7.45%"
"04/01/2013","167.48","158.09","168.85","158.09","","5.99%"
"03/01/2013","158.01","153.04","158.40","152.15","","3.24%"
"02/01/2013","153.05","150.04","154.40","148.14","","2.56%"
"01/01/2013","149.23","147.58","152.43","142.95","401.00M","2.18%"
"12/01/2012","146.04","147.69","149.95","143.53","2.06B","-1.08%"
"11/01/2012","147.64","149.44","151.76","139.92","2.19B","-0.88%"
"10/01/2012","148.95","157.15","159.93","144.93","4.29B","-5.21%"
"09/01/2012","157.13","151.30","160.36","150.98","2.55B","3.85%"
"08/01/2012","151.30","155.20","156.82","149.65","2.90B","-2.51%"
"07/01/2012","155.20","147.14","155.75","143.37","2.94B","5.48%"
"06/01/2012","147.14","139.49","147.46","137.29","2.99B","5.36%"
"05/01/2012","139.66","136.12","140.53","134.37","2.75B","2.60%"
"04/01/2012","136.12","130.65","136.12","125.89","2.42B","4.19%"
"03/01/2012","130.65","129.35","134.24","128.68","2.85B","1.01%"
"02/01/2012","129.35","124.71","129.67","124.71","2.74B","3.72%"
"01/01/2012","124.71","129.82","130.77","123.33","2.41B","-3.94%"
"12/01/2011","129.82","125.14","130.23","123.39","2.20B","3.74%"
"11/01/2011","125.14","124.16","126.45","117.81","2.40B","0.79%"
"10/01/2011","124.16","122.01","126.57","116.73","3.62B","1.76%"
"09/01/2011","122.01","123.52","125.39","117.80","3.04B","-1.35%"
"08/01/2011","123.68","125.38","128.09","113.75","4.71B","-1.36%"
"07/01/2011","125.38","134.34","136.19","123.80","2.28B","-6.67%"
"06/01/2011","134.34","136.34","136.34","128.54","2.58B","-1.47%"
"05/01/2011","136.34","134.14","136.44","133.32","2.62B","1.64%"
"04/01/2011","134.14","133.25","135.80","130.06","2.38B","0.67%"
"03/01/2011","133.25","126.68","134.09","120.76","4.39B","5.19%"
"02/01/2011","126.68","123.79","128.28","122.33","2.74B","2.33%"
"01/01/2011","123.79","128.74","132.75","122.85","3.33B","-3.84%"
"12/01/2010","128.74","119.61","129.27","119.61","3.06B","7.59%"
"11/01/2010","119.66","121.40","125.36","118.65","2.72B","-1.43%"
"10/01/2010","121.40","121.54","124.77","119.51","2.87B","-0.12%"
"09/01/2010","121.54","112.61","123.39","112.61","2.88B","7.93%"
"08/01/2010","112.61","110.13","114.85","110.03","3.33B","2.25%"
"07/01/2010","110.13","102.04","111.55","100.83","4.01B","7.93%"
"06/01/2010","102.04","102.44","107.60","101.16","3.49B","-0.39%"
"05/01/2010","102.44","106.64","108.26","98.75","4.33B","-3.94%"
"04/01/2010","106.64","108.15","110.13","105.53","3.92B","-1.40%"
"03/01/2010","108.15","102.61","110.19","102.61","3.45B","5.40%"
"02/01/2010","102.61","103.95","106.01","101.57","3.08B","-1.29%"
"01/01/2010","103.95","114.64","116.99","103.86","3.30B","-9.32%"
"12/01/2009","114.64","109.62","116.29","109.62","2.80B","4.58%"
"11/01/2009","109.62","103.04","111.44","100.99","3.03B","6.39%"
"10/01/2009","103.04","108.29","108.58","101.57","3.59B","-4.85%"
"09/01/2009","108.29","105.32","110.23","101.67","3.47B","2.82%"
"08/01/2009","105.32","107.93","109.33","102.03","2.52B","-2.42%"
"07/01/2009","107.93","104.18","109.64","96.76","2.73B","3.60%"
"06/01/2009","104.18","103.14","106.16","100.40","2.78B","1.01%"
"05/01/2009","103.14","104.52","109.22","98.67","2.48B","-1.32%"
"04/01/2009","104.52","102.24","110.88","101.35","2.32B","2.23%"
"03/01/2009","102.24","96.53","107.40","87.81","3.10B","5.92%"
"02/01/2009","96.53","99.35","105.51","91.97","2.81B","-2.84%"
"01/01/2009","99.35","111.70","115.12","95.56","2.74B","-11.06%"
"12/01/2008","111.70","110.72","117.74","103.47","2.53B","0.89%"
"11/01/2008","110.72","104.04","116.59","88.27","2.78B","6.42%"
"10/01/2008","104.04","114.99","117.60","84.57","3.76B","-9.52%"
"09/01/2008","114.99","131.71","136.01","112.10","2.81B","-12.69%"
"08/01/2008","131.71","127.17","134.49","123.81","2.38B","3.57%"
"07/01/2008","127.17","136.46","136.46","126.13","2.48B","-6.81%"
"06/01/2008","136.46","154.34","154.43","132.09","2.49B","-11.58%"
"05/01/2008","154.34","149.34","156.56","147.46","2.19B","3.35%"
"04/01/2008","149.34","143.79","151.58","138.92","2.08B","3.86%"
"03/01/2008","143.79","137.08","145.08","131.63","2.45B","4.89%"
"02/01/2008","137.08","151.63","152.62","131.98","2.50B","-9.60%"
"01/01/2008","151.63","168.26","169.32","132.78","2.94B","-9.88%"
"12/01/2007","168.26","163.23","173.19","162.35","1.82B","3.08%"
"11/01/2007","163.23","175.99","175.99","154.74","2.03B","-7.25%"
"10/01/2007","175.99","178.61","180.10","171.38","1.97B","-1.47%"
"09/01/2007","178.61","170.99","180.58","165.74","1.43B","4.46%"
"08/01/2007","170.99","171.12","175.83","159.09","2.07B","-0.08%"
"07/01/2007","171.12","176.21","179.02","168.90","1.79B","-2.89%"
"06/01/2007","176.21","181.06","181.59","170.68","1.83B","-2.68%"
"05/01/2007","181.06","165.13","181.57","165.13","1.83B","9.65%"
"04/01/2007","165.13","165.02","167.88","162.55","1.42B","0.07%"
"03/01/2007","165.02","158.88","165.67","153.73","1.83B","3.86%"
"02/01/2007","158.88","159.95","162.14","152.74","1.56B","-0.67%"
"01/01/2007","159.95","155.15","160.68","149.00","2.05B","3.09%"
"12/01/2006","155.15","148.38","157.09","147.33","1.78B","4.56%"
"11/01/2006","148.38","148.87","150.64","143.78","2.09B","-0.33%"
"10/01/2006","148.87","143.89","152.28","142.14","2.34B","3.46%"
"09/01/2006","143.89","138.36","147.21","138.08","1.44B","4.00%"
"08/01/2006","138.36","136.79","139.06","133.58","1.90B","1.15%"
"07/01/2006","136.79","131.25","138.41","125.00","1.44B","4.22%"
"06/01/2006","131.25","125.37","131.72","125.29","1.62B","4.69%"
"05/01/2006","125.37","129.26","130.28","123.13","1.30B","-3.01%"
"04/01/2006","129.26","133.14","134.74","126.42","1.12B","-2.91%"
"03/01/2006","133.14","129.19","135.19","128.96","1.81B","3.06%"
"02/01/2006","129.19","121.24","132.51","121.09","1.22B","6.56%"
"01/01/2006","121.24","117.43","122.52","116.70","1.45B","3.24%"
"12/01/2005","117.43","121.96","123.53","117.21","1.21B","-3.71%"
"11/01/2005","121.96","116.25","123.98","115.48","1.39B","4.91%"
"10/01/2005","116.25","118.72","119.14","109.46","1.27B","-2.08%"
"09/01/2005","118.72","120.55","120.97","116.71","1.05B","-1.52%"
"08/01/2005","120.55","124.88","125.35","118.05","1.15B","-3.47%"
"07/01/2005","124.88","121.09","125.47","119.11","1.11B","3.13%"
"06/01/2005","121.09","119.56","122.52","119.10","1.14B","1.28%"
"05/01/2005","119.56","118.13","119.84","114.53","1.27B","1.21%"
"04/01/2005","118.13","117.98","120.28","114.40","1.39B","0.13%"
"03/01/2005","117.98","120.06","122.51","115.10","1.35B","-1.73%"
"02/01/2005","120.06","119.29","123.58","118.06","1.59B","0.65%"
"01/01/2005","119.29","129.10","130.17","117.71","1.75B","-7.60%"
"12/01/2004","129.10","126.07","131.26","126.07","1.74B","2.40%"
"11/01/2004","126.07","121.26","129.49","121.07","1.01B","3.97%"
"10/01/2004","121.26","120.18","125.43","118.23","1.30B","0.90%"
"09/01/2004","120.18","118.80","122.52","118.30","1.13B","1.16%"
"08/01/2004","118.80","117.46","119.34","114.31","1.18B","1.14%"
"07/01/2004","117.46","113.90","118.64","110.20","1.28B","3.13%"
"06/01/2004","113.90","110.55","114.97","109.45","1.31B","3.03%"
"05/01/2004","110.55","115.28","117.33","109.87","1.22B","-4.10%"
"04/01/2004","115.28","115.95","118.68","114.05","1.45B","-0.58%"
"03/01/2004","115.95","117.72","121.83","112.10","1.86B","-1.50%"
"02/01/2004","117.72","115.62","121.67","114.91","2.24B","1.98%"
"01/01/2004","115.43","111.25","119.26","111.11","","3.69%"
"12/01/2003","111.32","102.33","111.53","101.83","","8.85%"
"11/01/2003","102.27","103.77","104.56","98.40","","-1.26%"
"10/01/2003","103.58","99.20","103.76","97.58","","4.50%"
"09/01/2003","99.12","103.62","107.12","97.92","","-4.22%"
"08/01/2003","103.49","103.60","107.22","100.88","48.86M","0.00%"
"07/01/2003","103.49","110.27","114.26","101.99","1.26B","-6.13%"
"06/01/2003","110.25","106.96","113.69","106.34","1.35B","3.58%"
"05/01/2003","106.44","99.76","107.35","97.00","1.31B","6.71%"
"04/01/2003","99.75","91.61","100.92","86.90","1.44B","8.98%"
"03/01/2003","91.53","91.89","97.26","83.40","1.38B","-0.37%"
"02/01/2003","91.87","100.29","104.46","90.38","1.19B","-8.36%"
"01/01/2003","100.25","108.10","123.22","96.91","1.52B","-6.99%"
"12/01/2002","107.78","116.82","120.53","105.11","1.23B","-7.62%"
"11/01/2002","116.67","104.10","116.97","101.75","1.66B","11.99%"
"10/01/2002","104.18","79.08","107.41","79.04","2.13B","31.87%"
"09/01/2002","79.00","91.60","96.28","78.27","1.74B","-14.15%"
