"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2020","1,032.90","1,079.05","1,163.99","858.00","7.75B","-3.98%"
"02/01/2020","1,075.66","1,161.11","1,219.87","1,046.39","4.21B","-6.79%"
"01/01/2020","1,153.96","1,190.89","1,223.74","1,150.37","3.70B","-2.88%"
"12/01/2019","1,188.20","1,149.91","1,195.85","1,132.39","3.57B","3.44%"
"11/01/2019","1,148.69","1,099.07","1,154.65","1,083.83","3.88B","4.85%"
"10/01/2019","1,095.58","1,045.50","1,097.43","1,009.42","3.77B","5.00%"
"09/01/2019","1,043.37","1,041.90","1,070.37","1,027.66","3.38B","-0.32%"
"08/01/2019","1,046.74","1,054.70","1,066.17","1,019.54","3.99B","-0.69%"
"07/01/2019","1,054.04","1,079.47","1,093.06","1,048.16","4.01B","-1.72%"
"06/01/2019","1,072.47","1,008.61","1,087.69","1,008.13","2.18B","6.50%"
"05/01/2019","1,007.00","1,032.80","1,050.69","1,001.67","","-2.55%"
"04/01/2019","1,033.35","1,066.35","1,070.64","979.42","","-2.74%"
"03/01/2019","1,062.47","1,062.61","1,078.62","1,023.64","","0.35%"
"02/01/2019","1,058.77","1,047.58","1,077.14","1,032.86","","1.04%"
"01/01/2019","1,047.87","991.19","1,051.09","964.33","","4.66%"
"12/01/2018","1,001.18","1,101.11","1,107.39","934.18","","-8.72%"
"11/01/2018","1,096.84","1,028.81","1,096.84","1,026.05","","6.83%"
"10/01/2018","1,026.70","1,102.64","1,112.21","998.29","","-6.78%"
"09/01/2018","1,101.36","1,071.45","1,102.42","1,060.00","","2.80%"
"08/01/2018","1,071.38","1,028.61","1,075.24","1,023.97","","4.18%"
"07/01/2018","1,028.39","963.04","1,029.92","957.78","","6.48%"
"06/01/2018","965.78","956.17","989.97","952.86","","1.51%"
"05/01/2018","951.45","950.98","970.34","917.81","","0.02%"
"04/01/2018","951.27","939.23","968.81","912.01","","1.12%"
"03/01/2018","940.73","970.71","1,003.03","922.11","","-3.21%"
"02/01/2018","971.88","1,015.42","1,023.66","920.28","","-4.63%"
"01/01/2018","1,019.08","960.97","1,061.82","959.92","","6.56%"
"12/01/2017","956.32","963.33","974.78","943.22","","-0.76%"
"11/01/2017","963.64","939.64","966.18","930.06","","2.70%"
"10/01/2017","938.35","947.69","975.33","936.61","","-0.84%"
"09/01/2017","946.31","939.02","962.38","929.12","","0.86%"
"08/01/2017","938.28","924.63","939.03","899.91","","1.64%"
"07/01/2017","923.11","919.01","938.65","908.60","","0.67%"
"06/01/2017","916.93","878.62","937.91","878.59","","4.49%"
"05/01/2017","877.55","872.86","879.55","859.61","","0.61%"
"04/01/2017","872.26","860.24","873.90","845.41","","1.46%"
"03/01/2017","859.75","869.12","884.52","854.22","","-0.56%"
"02/01/2017","864.61","813.83","867.84","813.00","","6.21%"
"01/01/2017","814.06","801.06","831.49","794.52","","2.15%"
"12/01/2016","796.91","792.91","809.62","771.94","","0.60%"
"11/01/2016","792.13","779.22","829.54","762.63","","1.72%"
"10/01/2016","778.77","831.66","837.51","778.44","","-6.60%"
"09/01/2016","833.79","839.61","849.98","821.08","","-0.65%"
"08/01/2016","839.28","870.84","878.52","836.21","","-3.51%"
"07/01/2016","869.78","829.48","870.75","828.29","","4.86%"
"06/01/2016","829.45","822.22","839.63","787.71","","0.86%"
"05/01/2016","822.36","806.35","824.64","791.85","","1.99%"
"04/01/2016","806.34","783.28","833.44","778.69","","2.87%"
"03/01/2016","783.85","764.34","791.76","756.78","","2.59%"
"02/01/2016","764.03","769.23","783.94","725.11","","-0.71%"
"01/01/2016","769.48","832.94","832.94","749.92","","-7.65%"
"12/01/2015","833.23","820.84","846.26","802.86","","1.61%"
"11/01/2015","820.04","825.40","842.40","802.20","","-0.60%"
"10/01/2015","824.99","766.04","836.86","760.16","","7.69%"
"09/01/2015","766.06","812.99","843.88","736.87","","-5.83%"
"08/01/2015","813.51","885.02","892.40","768.95","","-8.05%"
"07/01/2015","884.71","861.46","894.36","854.13","","2.73%"
"06/01/2015","861.19","865.17","886.59","848.55","","-0.41%"
"05/01/2015","864.75","829.58","872.43","825.11","","4.33%"
"04/01/2015","828.85","840.47","864.76","824.64","","-1.41%"
"03/01/2015","840.73","834.69","869.12","819.00","","0.76%"
"02/01/2015","834.36","801.84","839.66","792.14","","4.13%"
"01/01/2015","801.26","792.13","825.45","783.05","","1.17%"
"12/01/2014","791.97","802.65","824.66","776.88","","-1.45%"
"11/01/2014","803.65","779.46","808.30","772.77","","3.18%"
"10/01/2014","778.85","740.30","784.06","685.30","","5.26%"
"09/01/2014","739.96","739.15","755.62","729.80","","0.32%"
"08/01/2014","737.60","703.14","738.17","690.51","","4.72%"
"07/01/2014","704.37","705.72","722.37","698.39","","-0.02%"
"06/01/2014","704.52","690.58","709.21","686.23","","2.07%"
"05/01/2014","690.24","673.35","690.61","659.54","","2.57%"
"04/01/2014","672.95","679.98","688.53","641.06","","-0.60%"
"03/01/2014","677.01","683.71","698.66","661.59","","-1.38%"
"02/01/2014","686.45","648.61","693.38","632.41","","5.95%"
"01/01/2014","647.90","641.59","665.75","636.75","","0.87%"
"12/01/2013","642.30","637.90","644.00","616.43","","0.66%"
"11/01/2013","638.06","611.68","643.61","605.93","","4.49%"
"10/01/2013","610.66","587.64","618.65","574.15","","4.20%"
"09/01/2013","586.02","570.68","601.94","566.86","","3.03%"
"08/01/2013","568.80","591.59","595.33","564.12","","-3.63%"
"07/01/2013","590.25","553.02","595.02","547.22","","7.09%"
"06/01/2013","551.18","558.19","567.02","538.80","","-0.86%"
"05/01/2013","555.95","547.29","582.94","542.40","","1.40%"
