"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2023","1,152.42","1,153.09","1,160.58","1,111.15","7.66B","-0.99%"
"03/01/2023","1,163.98","1,127.48","1,164.49","1,053.27","11.06B","3.01%"
"02/01/2023","1,130.01","1,154.26","1,228.49","1,108.13","10.00B","-2.27%"
"01/01/2023","1,156.22","1,010.71","1,159.39","987.46","10.19B","14.99%"
"12/01/2022","1,005.48","1,139.78","1,140.89","981.17","9.67B","-11.31%"
"11/01/2022","1,133.65","1,144.33","1,146.40","1,023.30","9.74B","0.81%"
"10/01/2022","1,124.52","1,121.29","1,176.83","1,051.35","9.91B","0.20%"
"09/01/2022","1,122.31","1,212.60","1,311.72","1,119.27","9.16B","-8.09%"
"08/01/2022","1,221.06","1,282.10","1,375.13","1,220.90","7.83B","-4.72%"
"07/01/2022","1,281.51","1,080.80","1,286.96","1,075.24","7.61B","18.90%"
"06/01/2022","1,077.78","1,218.13","1,236.84","1,039.99","8.73B","-10.90%"
"05/01/2022","1,209.68","1,271.10","1,323.51","1,062.09","8.12B","-4.91%"
"04/01/2022","1,272.15","1,469.63","1,500.06","1,268.59","5.99B","-13.03%"
"03/01/2022","1,462.69","1,393.82","1,520.73","1,273.13","8.17B","4.82%"
"02/01/2022","1,395.46","1,457.65","1,502.06","1,273.22","7.06B","-4.06%"
"01/01/2022","1,454.45","1,639.59","1,666.03","1,348.94","8.52B","-9.70%"
"12/01/2021","1,610.76","1,633.32","1,647.03","1,504.38","7.71B","-0.31%"
"11/01/2021","1,615.83","1,595.40","1,699.45","1,585.90","7.95B","1.90%"
"10/01/2021","1,585.72","1,433.59","1,591.85","1,416.31","6.29B","10.91%"
"09/01/2021","1,429.69","1,473.03","1,484.24","1,416.19","6.36B","-2.62%"
"08/01/2021","1,468.09","1,449.55","1,468.53","1,391.84","6.10B","2.04%"
"07/01/2021","1,438.71","1,433.94","1,488.63","1,403.26","5.93B","0.48%"
"06/01/2021","1,431.82","1,388.67","1,438.87","1,353.87","6.96B","3.75%"
"05/01/2021","1,380.08","1,441.62","1,443.96","1,327.73","6.96B","-3.89%"
"04/01/2021","1,435.89","1,352.31","1,443.38","1,348.49","6.23B","7.08%"
"03/01/2021","1,340.91","1,307.53","1,359.07","1,201.65","8.69B","3.59%"
"02/01/2021","1,294.47","1,320.69","1,395.85","1,275.36","6.75B","-1.01%"
"01/01/2021","1,307.64","1,309.64","1,383.73","1,272.76","7.37B","0.39%"
"12/01/2020","1,302.56","1,280.77","1,306.15","1,249.46","6.53B","2.45%"
"11/01/2020","1,271.42","1,183.62","1,284.75","1,160.68","7.65B","8.48%"
"10/01/2020","1,172.03","1,222.32","1,296.42","1,163.10","6.50B","-2.95%"
"09/01/2020","1,207.69","1,257.74","1,285.12","1,133.04","7.16B","-3.69%"
"08/01/2020","1,253.91","1,150.06","1,262.01","1,137.73","6.98B","9.43%"
"07/01/2020","1,145.81","1,051.54","1,160.30","1,051.52","8.26B","8.98%"
"06/01/2020","1,051.42","1,003.80","1,072.78","991.38","12.31B","4.90%"
"05/01/2020","1,002.29","920.55","1,012.32","896.23","10.68B","4.86%"
"04/01/2020","955.81","767.60","957.48","744.26","11.85B","20.51%"
"03/01/2020","793.11","920.95","963.69","663.43","13.96B","-13.39%"
"02/01/2020","915.77","997.10","1,052.19","889.83","6.33B","-7.69%"
"01/01/2020","992.01","993.05","1,011.46","967.86","5.25B","0.58%"
"12/01/2019","986.29","962.71","997.74","938.13","4.49B","2.65%"
"11/01/2019","960.79","955.12","968.91","937.10","4.90B","1.13%"
"10/01/2019","950.01","949.49","966.29","911.12","4.87B","0.29%"
"09/01/2019","947.27","935.80","976.50","933.19","4.37B","0.72%"
"08/01/2019","940.47","955.65","965.33","897.92","5.26B","-1.43%"
"07/01/2019","954.09","955.15","990.11","945.43","4.52B","0.90%"
"06/01/2019","945.58","876.35","955.22","862.89","2.28B","7.63%"
"05/01/2019","878.54","953.54","955.88","876.51","","-7.73%"
"04/01/2019","952.14","907.70","958.20","906.30","","5.65%"
"03/01/2019","901.20","874.73","904.26","846.06","","3.94%"
"02/01/2019","867.03","848.86","880.05","837.06","","0.65%"
"01/01/2019","861.45","768.82","864.92","766.81","","10.23%"
"12/01/2018","781.50","873.82","876.40","720.44","","-8.45%"
"11/01/2018","853.59","836.45","889.16","786.69","","2.60%"
"10/01/2018","831.97","943.72","946.29","795.27","","-11.33%"
"09/01/2018","938.23","929.22","943.37","913.53","","0.97%"
"08/01/2018","929.23","884.05","931.90","875.41","","4.98%"
"07/01/2018","885.15","863.56","902.52","861.64","","1.71%"
"06/01/2018","870.23","843.87","897.11","843.47","","3.51%"
"05/01/2018","840.76","822.84","847.30","806.79","","1.87%"
"04/01/2018","825.31","801.77","836.90","776.47","","2.27%"
"03/01/2018","806.97","828.43","852.87","790.14","","-2.46%"
"02/01/2018","827.35","853.86","859.33","772.56","","-3.56%"
"01/01/2018","857.88","789.58","870.21","789.58","","9.24%"
"12/01/2017","785.33","766.29","791.66","756.85","","2.28%"
"11/01/2017","767.82","733.68","771.05","724.29","","4.90%"
"10/01/2017","731.97","718.63","735.50","717.18","","2.02%"
