"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2020","214.27","205.32","216.12","186.14","2.00B","1.74%"
"04/01/2020","210.61","182.37","223.08","176.87","1.93B","9.33%"
"03/01/2020","192.64","228.87","248.50","154.86","2.81B","-15.40%"
"02/01/2020","227.70","244.46","260.21","221.33","1.29B","-6.53%"
"01/01/2020","243.62","241.09","249.54","235.21","1.14B","1.37%"
"12/01/2019","240.32","238.09","240.35","229.60","1.15B","0.79%"
"11/01/2019","238.43","243.50","244.26","232.07","1.11B","-1.97%"
"10/01/2019","243.21","243.04","249.51","238.44","1.17B","-0.16%"
"09/01/2019","243.60","242.06","247.91","237.18","1.15B","0.48%"
"08/01/2019","242.44","232.12","243.16","226.70","1.10B","4.61%"
"07/01/2019","231.76","229.10","237.23","224.69","1.01B","1.69%"
"06/01/2019","227.91","225.75","237.72","222.93","641.56M","1.26%"
"05/01/2019","225.08","223.03","228.41","218.23","","0.90%"
"04/01/2019","223.07","224.56","227.21","215.58","","-0.57%"
"03/01/2019","224.36","214.90","225.25","211.95","","4.48%"
"02/01/2019","214.74","213.04","218.02","208.85","","0.83%"
"01/01/2019","212.98","190.60","213.31","186.85","","10.72%"
"12/01/2018","192.36","209.58","212.65","183.74","","-7.91%"
"11/01/2018","208.88","198.88","208.94","195.24","","5.30%"
"10/01/2018","198.36","201.97","202.57","189.53","","-1.73%"
"09/01/2018","201.86","208.24","208.86","198.87","","-3.17%"
"08/01/2018","208.46","202.42","210.19","201.72","","2.23%"
"07/01/2018","203.92","201.60","205.87","198.38","","1.00%"
"06/01/2018","201.90","194.27","202.92","193.48","","3.88%"
"05/01/2018","194.35","190.89","196.11","187.31","","1.97%"
"04/01/2018","190.59","192.13","193.60","185.38","","-0.76%"
"03/01/2018","192.05","185.37","193.78","182.70","","3.26%"
"02/01/2018","185.98","199.66","200.56","180.54","","-6.96%"
"01/01/2018","199.90","204.22","204.27","192.52","","-1.94%"
"12/01/2017","203.86","206.34","207.68","199.63","","-1.00%"
"11/01/2017","205.91","200.98","209.65","200.08","","2.67%"
"10/01/2017","200.55","199.41","204.29","196.73","","0.68%"
"09/01/2017","199.20","203.21","205.98","197.23","","-1.86%"
