"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2019","329.32","359.74","360.13","327.86","","-8.48%"
"04/01/2019","359.84","348.29","375.93","348.29","","3.62%"
"03/01/2019","347.27","346.29","352.12","337.35","","0.94%"
"02/01/2019","344.05","334.13","352.34","326.08","","3.02%"
"01/01/2019","333.98","313.86","341.85","308.59","","5.48%"
"12/01/2018","316.62","347.12","350.49","295.03","","-7.18%"
"11/01/2018","341.11","329.91","350.54","329.21","","3.78%"
"10/01/2018","328.69","364.82","369.87","313.47","","-9.48%"
"09/01/2018","363.12","370.94","383.08","362.54","","-2.28%"
"08/01/2018","371.60","373.66","378.20","357.31","","-0.74%"
"07/01/2018","374.38","361.46","375.56","359.20","","2.95%"
"06/01/2018","363.65","366.15","381.80","358.10","","0.12%"
"05/01/2018","363.22","354.54","377.44","351.83","","1.83%"
"04/01/2018","356.71","355.92","377.05","345.56","","0.10%"
"03/01/2018","356.34","372.62","385.60","348.86","","-4.45%"
"02/01/2018","372.92","392.18","394.49","354.98","","-5.47%"
"01/01/2018","394.50","380.06","402.11","380.06","","4.11%"
"12/01/2017","378.94","373.32","381.32","366.55","","1.75%"
"11/01/2017","372.44","372.28","374.87","357.97","","0.74%"
"10/01/2017","369.69","356.34","373.69","356.03","","3.80%"
"09/01/2017","356.15","345.13","357.26","340.31","","3.33%"
"08/01/2017","344.67","342.72","345.25","334.47","","0.77%"
"07/01/2017","342.02","338.59","350.59","336.73","","1.36%"
"06/01/2017","337.42","331.96","344.94","331.96","","1.56%"
"05/01/2017","332.24","333.81","335.60","321.93","","-0.28%"
"04/01/2017","333.17","329.39","337.47","321.51","","1.35%"
"03/01/2017","328.73","331.61","335.14","320.82","","0.18%"
"02/01/2017","328.13","326.45","332.04","322.57","","0.50%"
"01/01/2017","326.49","313.86","334.66","311.91","","4.59%"
"12/01/2016","312.16","313.50","323.28","310.98","","-0.13%"
"11/01/2016","312.56","293.43","313.35","289.74","","6.59%"
"10/01/2016","293.24","299.88","300.78","285.84","","-2.21%"
"09/01/2016","299.87","304.50","309.21","292.02","","-1.48%"
"08/01/2016","304.38","305.26","310.18","300.62","","-0.30%"
"07/01/2016","305.29","290.92","308.20","282.25","","5.05%"
"06/01/2016","290.62","293.60","304.01","277.87","","-1.14%"
"05/01/2016","293.99","295.81","300.10","284.84","","-0.55%"
"04/01/2016","295.62","281.40","300.91","276.58","","4.90%"
"03/01/2016","281.81","263.44","287.92","263.44","","7.37%"
"02/01/2016","262.46","244.24","267.12","240.45","","7.30%"
"01/01/2016","244.59","272.58","272.58","229.12","","-10.61%"
"12/01/2015","273.64","286.55","288.58","266.79","","-4.43%"
"11/01/2015","286.31","284.78","289.40","274.44","","0.59%"
"10/01/2015","284.64","250.94","286.68","249.86","","13.45%"
"09/01/2015","250.90","271.48","273.52","244.00","","-7.62%"
"08/01/2015","271.58","288.23","291.78","254.65","","-5.78%"
"07/01/2015","288.24","303.71","306.55","278.70","","-5.03%"
"06/01/2015","303.52","316.99","319.98","302.45","","-4.17%"
"05/01/2015","316.72","316.18","324.59","314.32","","0.25%"
"04/01/2015","315.93","306.38","319.39","304.32","","3.07%"
"03/01/2015","306.51","322.55","324.82","304.19","","-4.99%"
"02/01/2015","322.61","299.30","327.33","297.76","","7.82%"
"01/01/2015","299.22","305.47","308.11","291.57","","-1.99%"
"12/01/2014","305.28","308.00","313.69","288.54","","-0.89%"
"11/01/2014","308.03","304.65","320.07","297.76","","1.20%"
"10/01/2014","304.39","312.40","312.40","277.75","","-2.62%"
"09/01/2014","312.58","318.19","320.97","311.54","","-1.73%"
"08/01/2014","318.09","306.73","318.45","305.40","","3.55%"
"07/01/2014","307.20","313.63","317.83","307.17","","-1.99%"
"06/01/2014","313.44","309.02","314.98","307.01","","1.46%"
"05/01/2014","308.93","300.35","309.14","297.94","","2.83%"
"04/01/2014","300.42","298.90","304.95","289.62","","0.69%"
"03/01/2014","298.35","296.24","303.88","292.07","","0.58%"
"02/01/2014","296.64","278.12","297.63","270.01","","6.69%"
"01/01/2014","278.04","291.45","293.76","273.73","","-4.66%"
"12/01/2013","291.64","279.20","291.83","273.69","","4.58%"
"11/01/2013","278.88","276.10","283.23","273.20","","1.08%"
"10/01/2013","275.90","264.58","279.62","259.09","","4.11%"
"09/01/2013","265.01","254.71","275.07","254.53","","4.16%"
"08/01/2013","254.43","255.37","262.22","253.22","","-0.19%"
"07/01/2013","254.92","241.95","258.76","241.14","","5.51%"
"06/01/2013","241.61","253.21","255.57","238.73","","-4.50%"
"05/01/2013","253.01","248.58","261.20","243.32","","1.66%"
"04/01/2013","248.87","247.26","250.33","233.46","","0.54%"
"03/01/2013","247.52","241.78","252.19","239.37","","2.17%"
"02/01/2013","242.27","246.97","249.82","235.36","","-1.74%"
"01/01/2013","246.55","238.28","251.60","238.28","339.44M","3.76%"
"12/01/2012","237.62","231.23","237.80","222.77","2.39B","2.89%"
"11/01/2012","230.95","227.69","232.90","216.73","2.14B","1.45%"
"10/01/2012","227.64","233.11","240.33","226.21","2.24B","-2.25%"
"09/01/2012","232.88","224.80","243.01","220.92","2.45B","3.55%"
"08/01/2012","224.90","219.95","230.70","215.67","2.01B","2.24%"
"07/01/2012","219.96","222.94","225.97","212.60","2.32B","-1.33%"
"06/01/2012","222.94","213.23","225.46","205.68","2.45B","4.55%"
"05/01/2012","213.23","231.73","234.32","205.79","2.54B","-7.99%"
"04/01/2012","231.75","234.14","238.17","221.98","2.47B","-1.02%"
"03/01/2012","234.14","233.84","238.80","226.05","2.61B","0.13%"
"02/01/2012","233.84","235.11","240.19","230.13","2.21B","-0.54%"
"01/01/2012","235.12","211.71","238.71","211.71","2.62B","11.06%"
"12/01/2011","211.71","216.84","219.73","201.30","2.56B","-2.37%"
"11/01/2011","216.84","217.02","224.84","197.19","3.04B","-0.09%"
"10/01/2011","217.03","184.55","227.49","174.80","4.01B","17.60%"
"09/01/2011","184.55","221.25","223.17","184.52","3.31B","-16.59%"
"08/01/2011","221.25","237.59","240.84","197.96","3.97B","-6.88%"
"07/01/2011","237.59","245.93","254.28","235.39","2.41B","-3.39%"
"06/01/2011","245.93","247.04","247.04","226.22","2.77B","-0.45%"
"05/01/2011","247.05","254.48","256.35","234.82","2.66B","-2.92%"
"04/01/2011","254.48","249.36","256.84","239.65","2.47B","2.05%"
"03/01/2011","249.36","245.23","250.46","227.38","2.90B","1.68%"
"02/01/2011","245.23","239.24","253.03","236.12","2.42B","2.50%"
"01/01/2011","239.26","239.61","243.54","231.99","2.91B","-0.15%"
"12/01/2010","239.61","217.50","240.43","217.50","2.17B","10.16%"
"11/01/2010","217.51","215.50","227.44","211.65","2.37B","0.93%"
