"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2020","301.86","298.47","308.16","288.38","1.53B","0.80%"
"08/01/2020","299.46","308.51","314.40","295.52","1.44B","-3.13%"
"07/01/2020","309.12","286.88","312.03","284.10","1.94B","7.72%"
"06/01/2020","286.96","301.64","318.22","278.63","2.02B","-5.00%"
"05/01/2020","302.05","287.67","303.36","271.74","1.77B","3.90%"
"04/01/2020","290.71","270.23","313.95","259.54","1.74B","3.17%"
"03/01/2020","281.77","315.17","347.26","220.86","2.98B","-10.22%"
"02/01/2020","313.85","350.74","359.84","306.40","1.52B","-10.35%"
"01/01/2020","350.08","328.65","352.39","322.65","1.44B","6.61%"
"12/01/2019","328.36","317.56","329.88","315.70","1.55B","3.14%"
"11/01/2019","318.36","326.19","327.22","310.68","1.63B","-2.30%"
"10/01/2019","325.85","327.84","329.58","319.61","1.56B","-0.80%"
"09/01/2019","328.49","315.94","330.47","312.78","1.43B","3.96%"
"08/01/2019","315.97","301.47","317.02","297.60","1.59B","4.66%"
"07/01/2019","301.90","302.91","311.03","299.23","1.38B","-0.38%"
"06/01/2019","303.04","294.69","310.60","291.53","770.52M","3.09%"
"05/01/2019","293.95","296.28","304.38","287.00","","-1.28%"
"04/01/2019","297.75","295.12","297.87","289.12","","0.88%"
"03/01/2019","295.15","287.70","299.29","285.79","","2.65%"
"02/01/2019","287.53","277.30","288.36","273.64","","3.55%"
"01/01/2019","277.67","267.70","278.60","261.61","","3.37%"
"12/01/2018","268.61","279.62","288.20","258.16","","-4.31%"
"11/01/2018","280.71","272.69","281.23","267.79","","3.06%"
"10/01/2018","272.38","266.78","281.53","264.05","","1.91%"
"09/01/2018","267.28","270.38","276.86","260.62","","-0.90%"
"08/01/2018","269.70","266.66","276.45","263.60","","0.59%"
"07/01/2018","268.11","263.49","270.08","258.86","","1.83%"
"06/01/2018","263.30","256.87","265.64","243.21","","2.46%"
"05/01/2018","256.98","261.36","262.14","245.22","","-1.69%"
"04/01/2018","261.39","256.84","263.31","250.04","","2.05%"
"03/01/2018","256.14","247.88","257.62","244.80","","3.41%"
"02/01/2018","247.70","259.04","259.66","240.37","","-4.39%"
"01/01/2018","259.07","267.59","267.63","253.20","","-3.10%"
"12/01/2017","267.37","286.27","286.99","264.99","","-6.36%"
"11/01/2017","285.52","279.90","289.49","277.12","","2.21%"
"10/01/2017","279.35","269.55","280.08","267.03","","3.86%"
"09/01/2017","268.97","277.68","281.82","266.60","","-3.00%"
"08/01/2017","277.28","270.21","279.71","269.22","","2.68%"
"07/01/2017","270.04","264.44","270.57","259.60","","2.38%"
"06/01/2017","263.77","271.56","275.34","263.17","","-2.91%"
"05/01/2017","271.69","262.49","272.56","258.32","","3.63%"
"04/01/2017","262.16","259.91","264.70","257.97","","0.74%"
"03/01/2017","260.24","258.71","265.00","254.75","","-0.52%"
"02/01/2017","261.60","248.02","262.21","244.63","","4.71%"
"01/01/2017","249.82","246.98","249.90","242.99","","1.21%"
"12/01/2016","246.83","234.66","249.27","232.31","","4.64%"
"11/01/2016","235.88","250.92","250.96","229.50","","-5.96%"
"10/01/2016","250.83","248.35","252.33","237.58","","0.82%"
"09/01/2016","248.79","248.35","260.23","244.17","","0.12%"
"08/01/2016","248.49","264.50","265.24","246.70","","-6.14%"
"07/01/2016","264.75","267.08","269.24","260.07","","-0.73%"
"06/01/2016","266.70","247.81","266.71","246.32","","7.47%"
"05/01/2016","248.16","245.90","252.36","238.92","","0.97%"
"04/01/2016","245.76","251.64","253.26","237.27","","-2.45%"
"03/01/2016","251.93","234.59","252.20","227.79","","7.69%"
"02/01/2016","233.94","230.58","240.05","228.69","","1.37%"
"01/01/2016","230.77","218.93","230.99","215.82","","4.90%"
"12/01/2015","220.00","216.43","223.32","208.96","","1.85%"
"11/01/2015","216.01","222.19","224.71","212.41","","-2.75%"
"10/01/2015","222.13","219.82","231.13","215.58","","1.05%"
"09/01/2015","219.82","213.62","220.02","205.76","","2.59%"
"08/01/2015","214.28","223.25","233.19","211.81","","-4.00%"
"07/01/2015","223.22","210.67","225.04","210.29","","6.01%"
"06/01/2015","210.57","224.72","226.29","209.86","","-6.28%"
"05/01/2015","224.68","224.65","229.26","218.24","","0.04%"
"04/01/2015","224.59","225.63","230.97","222.60","","-0.48%"
"03/01/2015","225.68","228.66","230.27","217.13","","-1.31%"
"02/01/2015","228.67","245.79","248.57","226.64","","-6.96%"
"01/01/2015","245.77","240.35","253.29","237.40","","2.34%"
"12/01/2014","240.14","231.82","250.98","227.82","","3.24%"
"11/01/2014","232.62","231.20","236.60","226.97","","0.73%"
"10/01/2014","230.93","214.22","231.71","213.13","","7.91%"
"09/01/2014","213.99","218.69","220.37","210.49","","-2.15%"
"08/01/2014","218.70","209.26","218.71","203.21","","4.45%"
"07/01/2014","209.38","224.89","224.89","209.22","","-6.91%"
"06/01/2014","224.93","215.84","225.36","209.93","","4.20%"
"05/01/2014","215.87","219.75","220.83","208.55","","-1.65%"
"04/01/2014","219.49","210.67","221.36","208.08","","4.20%"
"03/01/2014","210.64","203.83","211.44","199.50","","3.09%"
"02/01/2014","204.33","198.87","207.21","194.41","","2.80%"
"01/01/2014","198.77","193.12","199.13","188.82","","2.88%"
"12/01/2013","193.21","192.17","194.27","187.89","","0.54%"
"11/01/2013","192.17","197.03","200.73","191.55","","-2.35%"
"10/01/2013","196.78","189.91","200.46","187.63","","3.66%"
"09/01/2013","189.84","189.08","195.94","184.46","","0.74%"
"08/01/2013","188.44","200.06","201.13","186.95","","-5.52%"
"07/01/2013","199.44","191.81","202.26","185.64","","4.20%"
"06/01/2013","191.40","190.21","193.61","182.20","","0.60%"
"05/01/2013","190.25","210.32","210.32","189.21","","-9.58%"
"04/01/2013","210.40","198.62","210.47","197.77","","5.89%"
"03/01/2013","198.70","188.84","198.85","187.57","","5.13%"
"02/01/2013","189.00","186.26","190.02","184.19","","1.59%"
"01/01/2013","186.04","178.31","186.20","178.31","224.43M","4.71%"
"12/01/2012","177.66","178.11","181.57","174.05","1.47B","-0.24%"
"11/01/2012","178.10","187.59","187.59","170.86","1.70B","-4.99%"
"10/01/2012","187.44","185.04","190.17","183.98","1.20B","1.38%"
"09/01/2012","184.90","183.27","186.24","181.77","1.36B","0.89%"
"08/01/2012","183.27","192.49","195.39","182.75","1.51B","-4.80%"
"07/01/2012","192.51","187.80","194.59","185.66","1.41B","2.51%"
"06/01/2012","187.80","181.00","189.50","179.82","1.90B","3.76%"
"05/01/2012","181.00","181.23","182.90","178.36","2.05B","-0.13%"
"04/01/2012","181.24","178.07","181.33","173.62","1.88B","1.78%"
"03/01/2012","178.07","176.27","180.13","174.73","1.79B","1.02%"
"02/01/2012","176.27","176.28","178.02","174.83","1.93B","-0.01%"
"01/01/2012","176.28","182.98","183.59","173.72","1.94B","-3.66%"
"12/01/2011","182.98","177.59","184.44","173.58","1.70B","3.03%"
"11/01/2011","177.59","176.78","179.25","167.53","1.98B","0.46%"
"10/01/2011","176.78","170.77","180.00","162.30","2.10B","3.52%"
"09/01/2011","170.77","170.98","176.46","163.38","2.16B","-0.13%"
"08/01/2011","170.98","168.15","171.35","149.18","3.10B","1.69%"
"07/01/2011","168.15","170.03","173.04","167.15","1.51B","-1.11%"
"06/01/2011","170.03","170.74","170.74","164.85","1.70B","-0.48%"
"05/01/2011","170.84","168.11","173.26","167.11","1.81B","1.62%"
"04/01/2011","168.11","161.92","168.20","159.24","1.65B","3.83%"
"03/01/2011","161.92","162.25","165.75","154.91","2.11B","-0.21%"
"02/01/2011","162.26","161.03","162.85","159.25","1.61B","0.76%"
"01/01/2011","161.03","159.34","163.66","158.75","1.73B","1.06%"
"12/01/2010","159.34","155.08","160.24","155.01","1.64B","2.75%"
"11/01/2010","155.08","160.85","162.67","153.92","1.65B","-3.59%"
"10/01/2010","160.85","159.37","164.42","158.62","1.75B","0.93%"
"09/01/2010","159.37","155.34","160.95","155.34","1.80B","2.59%"
"08/01/2010","155.34","153.97","159.16","152.30","2.09B","0.89%"
"07/01/2010","153.97","143.44","158.39","141.86","1.87B","7.34%"
"06/01/2010","143.44","144.92","154.13","141.45","2.31B","-1.02%"
"05/01/2010","144.92","154.37","156.72","138.61","2.53B","-6.12%"
"04/01/2010","154.37","150.70","155.86","150.70","2.01B","2.44%"
"03/01/2010","150.70","147.14","153.47","147.14","1.96B","2.42%"
"02/01/2010","147.14","149.93","152.31","144.06","1.88B","-1.86%"
"01/01/2010","149.93","157.99","159.55","149.86","1.73B","-5.10%"
"12/01/2009","157.99","150.16","161.42","150.16","1.84B","5.21%"
"11/01/2009","150.16","144.15","151.75","142.56","1.96B","4.17%"
"10/01/2009","144.15","148.93","153.47","143.87","2.22B","-3.21%"
"09/01/2009","148.93","147.38","151.67","144.42","2.11B","1.05%"
"08/01/2009","147.38","147.13","150.90","144.06","1.80B","0.17%"
"07/01/2009","147.13","141.90","150.22","135.65","2.06B","3.69%"
"06/01/2009","141.90","135.00","142.98","134.03","2.30B","5.11%"
"05/01/2009","135.00","130.94","140.97","128.93","2.28B","3.10%"
"04/01/2009","130.94","130.39","134.95","127.79","2.16B","0.42%"
"03/01/2009","130.39","127.71","134.23","113.06","2.74B","2.10%"
"02/01/2009","127.71","146.71","153.19","125.62","2.19B","-12.95%"
"01/01/2009","146.71","147.93","154.79","140.00","2.02B","-0.82%"
"12/01/2008","147.93","151.66","151.66","135.77","2.06B","-2.46%"
"11/01/2008","151.66","148.06","153.39","131.75","2.25B","2.43%"
"10/01/2008","148.06","168.00","169.31","118.06","3.31B","-11.87%"
"09/01/2008","168.00","190.18","191.58","165.08","2.55B","-11.66%"
"08/01/2008","190.18","193.77","193.99","183.70","1.61B","-1.85%"
"07/01/2008","193.77","206.74","210.24","190.19","1.91B","-6.27%"
"06/01/2008","206.74","208.96","210.69","201.51","1.64B","-1.06%"
"05/01/2008","208.96","202.94","212.08","200.28","1.51B","2.89%"
"04/01/2008","203.09","193.04","207.79","193.04","1.49B","5.21%"
"03/01/2008","193.04","190.32","197.04","187.35","1.82B","1.40%"
"02/01/2008","190.38","201.06","208.95","189.43","1.53B","-5.31%"
"01/01/2008","201.06","216.11","223.85","192.17","1.98B","-6.96%"
"12/01/2007","216.11","215.97","225.00","214.99","1.22B","0.04%"
"11/01/2007","216.03","215.67","216.50","206.70","1.62B","0.10%"
"10/01/2007","215.81","202.43","216.16","199.68","1.29B","6.61%"
"09/01/2007","202.43","195.93","207.84","195.27","1.28B","3.29%"
"08/01/2007","195.99","192.46","206.30","185.63","2.44B","1.83%"
"07/01/2007","192.46","200.10","209.59","189.67","1.89B","-3.82%"
"06/01/2007","200.10","211.29","212.22","195.79","1.83B","-5.30%"
"05/01/2007","211.29","210.70","217.59","205.41","1.58B","0.28%"
"04/01/2007","210.70","202.34","215.76","202.34","1.27B","4.13%"
"03/01/2007","202.34","194.77","204.36","189.89","1.54B","3.89%"
"02/01/2007","194.77","185.78","203.55","185.78","1.26B","4.77%"
"01/01/2007","185.90","186.60","188.43","181.62","1.22B","-0.38%"
"12/01/2006","186.60","184.90","188.73","184.52","861.34M","0.92%"
"11/01/2006","184.90","181.48","185.13","178.36","1.11B","1.87%"
"10/01/2006","181.50","172.33","183.39","172.26","1.10B","5.32%"
"09/01/2006","172.33","175.65","176.03","169.83","968.08M","-1.89%"
"08/01/2006","175.65","171.69","175.89","170.22","1.15B","2.31%"
"07/01/2006","171.69","163.80","173.61","163.12","948.02M","4.82%"
"06/01/2006","163.80","160.40","165.00","159.10","1.20B","2.12%"
"05/01/2006","160.40","158.61","162.86","154.35","1.33B","1.13%"
"04/01/2006","158.61","156.40","160.21","152.62","1.00B","1.41%"
"03/01/2006","156.40","164.49","164.64","156.25","1.16B","-4.92%"
"02/01/2006","164.49","163.40","166.22","158.41","932.05M","0.67%"
"01/01/2006","163.40","159.66","168.01","159.45","998.71M","2.34%"
"12/01/2005","159.66","158.37","165.48","157.11","1.20B","0.81%"
"11/01/2005","158.37","159.46","161.28","153.18","1.65B","-0.68%"
"10/01/2005","159.46","170.43","172.88","151.35","1.37B","-6.44%"
"09/01/2005","170.43","164.27","171.47","163.54","1.22B","3.75%"
"08/01/2005","164.27","163.52","167.06","156.83","1.21B","0.46%"
"07/01/2005","163.52","160.24","165.33","157.83","878.58M","2.05%"
"06/01/2005","160.23","151.90","161.36","151.66","1.19B","5.48%"
"05/01/2005","151.90","152.19","153.47","145.29","1.44B","-0.20%"
"04/01/2005","152.21","147.88","152.64","146.28","1.21B","2.92%"
"03/01/2005","147.89","146.73","151.28","143.27","1.26B","0.79%"
"02/01/2005","146.73","144.31","149.12","142.85","1.01B","1.68%"
"01/01/2005","144.31","141.60","144.31","136.87","997.93M","1.91%"
"12/01/2004","141.60","138.34","142.80","135.08","1.23B","2.36%"
"11/01/2004","138.34","133.32","142.23","131.64","1.20B","3.77%"
"10/01/2004","133.32","127.41","134.04","127.41","1.18B","4.64%"
"09/01/2004","127.41","126.64","128.16","125.60","1.08B","0.61%"
"08/01/2004","126.64","122.21","126.65","122.07","853.32M","3.62%"
"07/01/2004","122.21","120.51","123.38","118.80","878.19M","1.41%"
"06/01/2004","120.51","119.04","122.19","116.92","933.01M","1.23%"
"05/01/2004","119.04","118.48","119.81","111.61","1.17B","0.47%"
"04/01/2004","118.48","123.31","124.34","116.77","1.19B","-3.92%"
"03/01/2004","123.31","122.40","124.21","120.05","1.33B","0.74%"
"02/01/2004","122.40","120.49","122.52","118.36","1.47B","1.51%"
"01/01/2004","120.58","118.49","121.99","117.36","1.57B","1.85%"
"12/01/2003","118.39","111.33","118.90","111.08","1.21B","6.43%"
"11/01/2003","111.24","111.72","112.79","107.54","1.15B","-0.37%"
"10/01/2003","111.65","110.72","113.50","110.63","1.30B","0.80%"
"09/01/2003","110.76","106.27","111.43","106.12","1.20B","4.23%"
"08/01/2003","106.26","104.81","106.52","101.86","1.19B","1.40%"
"07/01/2003","104.79","112.38","112.66","104.36","1.14B","-6.81%"
"06/01/2003","112.45","111.58","115.87","111.12","1.30B","0.85%"
"05/01/2003","111.50","101.42","112.85","99.47","1.39B","9.84%"
"04/01/2003","101.51","93.65","102.35","93.26","1.20B","8.45%"
"03/01/2003","93.60","89.53","95.06","87.66","1.14B","4.60%"
"02/01/2003","89.48","94.60","95.45","84.62","1.25B","-5.31%"
"01/01/2003","94.50","97.92","105.26","92.81","1.39B","-3.33%"
"12/01/2002","97.76","94.26","98.46","90.36","1.00B","3.72%"
"11/01/2002","94.25","92.22","97.66","87.14","1.31B","2.04%"
"10/01/2002","92.37","94.26","97.06","75.84","1.90B","-2.17%"
"09/01/2002","94.42","108.70","108.74","88.81","1.28B","-13.22%"
"08/01/2002","108.80","105.38","114.57","99.55","1.24B","3.09%"
"07/01/2002","105.54","122.93","123.08","83.46","2.03B","-14.15%"
"06/01/2002","122.93","132.92","132.93","118.52","1.33B","-7.43%"
"05/01/2002","132.79","146.06","146.25","129.52","1.30B","-9.32%"
"04/01/2002","146.44","149.43","153.39","143.14","935.79M","-2.00%"
"03/01/2002","149.43","133.51","151.03","133.50","1.09B","11.90%"
"02/01/2002","133.54","137.18","138.34","128.96","1.12B","-2.67%"
"01/01/2002","137.20","145.79","147.80","130.97","1.09B","-5.95%"
"12/01/2001","145.88","140.72","147.69","132.11","1.24B","2.29%"
"11/01/2001","142.61","151.22","157.03","142.61","","-5.82%"
"10/01/2001","151.43","153.26","165.63","150.12","","-0.47%"
"09/01/2001","152.15","173.59","173.59","146.30","","-11.78%"
"08/01/2001","172.46","179.71","182.16","170.29","","-3.16%"
"07/01/2001","178.08","187.18","193.46","168.35","","-4.72%"
"06/01/2001","186.90","201.21","201.21","181.84","","-8.13%"
"05/01/2001","203.44","210.48","210.48","200.81","","-3.56%"
"04/01/2001","210.96","199.90","211.13","190.01","","5.74%"
"03/01/2001","199.51","202.18","208.09","182.41","","-0.86%"
"02/01/2001","201.24","192.94","207.16","192.94","","3.29%"
"01/01/2001","194.83","208.30","208.30","177.25","","-9.81%"
"12/01/2000","216.03","216.03","216.03","216.03","","9.16%"
"11/01/2000","197.90","197.90","197.90","197.90","","-1.50%"
"10/01/2000","200.92","200.92","200.92","200.92","","-4.01%"
"09/01/2000","209.32","209.32","209.32","209.32","","8.94%"
"08/01/2000","192.14","192.14","192.14","192.14","","13.19%"
"07/01/2000","169.75","169.75","169.75","169.75","","6.96%"
"06/01/2000","158.71","158.71","158.71","158.71","","-6.26%"
"05/01/2000","169.31","169.31","169.31","169.31","","3.93%"
"04/01/2000","162.91","162.91","162.91","162.91","","7.55%"
"03/01/2000","151.48","151.48","151.48","151.48","","2.94%"
"02/01/2000","147.16","147.16","147.16","147.16","","-6.64%"
"01/01/2000","157.63","157.63","157.63","157.63","","10.67%"
"12/01/1999","142.43","142.43","142.43","142.43","","0.56%"
"11/01/1999","141.63","141.63","141.63","141.63","","-7.81%"
"10/01/1999","153.63","153.63","153.63","153.63","","1.17%"
"09/01/1999","151.85","151.85","151.85","151.85","","-5.12%"
"08/01/1999","160.04","160.04","160.04","160.04","","0.60%"
"07/01/1999","159.08","159.08","159.08","159.08","","-1.47%"
"06/01/1999","161.45","161.45","161.45","161.45","","-3.82%"
"05/01/1999","167.87","167.87","167.87","167.87","","5.90%"
"04/01/1999","158.52","158.52","158.52","158.52","","8.29%"
"03/01/1999","146.39","146.39","146.39","146.39","","-1.95%"
"02/01/1999","149.30","149.30","149.30","149.30","","-4.23%"
"01/01/1999","155.89","155.89","155.89","155.89","","-4.59%"
"12/01/1998","163.39","163.39","163.39","163.39","","2.68%"
"11/01/1998","159.12","159.12","159.12","159.12","","1.07%"
"10/01/1998","157.44","157.44","157.44","157.44","","-2.14%"
"09/01/1998","160.89","160.89","160.89","160.89","","7.54%"
"08/01/1998","149.61","149.61","149.61","149.61","","1.82%"
"07/01/1998","146.94","146.94","146.94","146.94","","-5.25%"
"06/01/1998","155.08","155.08","155.08","155.08","","3.45%"
"05/01/1998","149.91","149.91","149.91","149.91","","-0.85%"
"04/01/1998","151.19","151.19","151.19","151.19","","-2.59%"
"03/01/1998","155.21","155.21","155.21","155.21","","6.15%"
"02/01/1998","146.22","146.22","146.22","146.22","","2.85%"
"01/01/1998","142.17","142.17","142.17","142.17","","-4.26%"
"12/01/1997","148.50","148.50","148.50","148.50","","7.17%"
"11/01/1997","138.57","138.57","138.57","138.57","","6.93%"
"10/01/1997","129.59","129.59","129.59","129.59","","0.62%"
"09/01/1997","128.79","128.79","128.79","128.79","","3.83%"
"08/01/1997","124.04","124.04","124.04","124.04","","-2.48%"
"07/01/1997","127.19","127.19","127.19","127.19","","1.86%"
"06/01/1997","124.87","124.87","124.87","124.87","","2.60%"
"05/01/1997","121.70","121.70","121.70","121.70","","3.73%"
"04/01/1997","117.32","117.32","117.32","117.32","","-1.96%"
"03/01/1997","119.66","119.66","119.66","119.66","","-3.64%"
"02/01/1997","124.18","124.18","124.18","124.18","","-1.26%"
"01/01/1997","125.77","125.77","125.77","125.77","","0.28%"
"12/01/1996","125.42","125.42","125.42","125.42","","-1.08%"
"11/01/1996","126.79","126.79","126.79","126.79","","1.46%"
"10/01/1996","124.97","124.97","124.97","124.97","","4.64%"
"09/01/1996","119.43","119.43","119.43","119.43","","0.43%"
"08/01/1996","118.92","118.92","118.92","118.92","","1.57%"
"07/01/1996","117.08","117.08","117.08","117.08","","-6.63%"
"06/01/1996","125.39","125.39","125.39","125.39","","5.01%"
"05/01/1996","119.41","119.41","119.41","119.41","","0.80%"
"04/01/1996","118.46","118.46","118.46","118.46","","-2.24%"
"03/01/1996","121.18","121.18","121.18","121.18","","-1.21%"
"02/01/1996","122.66","122.66","122.66","122.66","","-3.72%"
"01/01/1996","127.40","127.40","127.40","127.40","","1.77%"
"12/01/1995","125.19","125.19","125.19","125.19","","5.33%"
"11/01/1995","118.85","118.85","118.85","118.85","","0.44%"
"10/01/1995","118.33","118.33","118.33","118.33","","1.21%"
"09/01/1995","116.92","116.92","116.92","116.92","","5.92%"
"08/01/1995","110.38","110.38","110.38","110.38","","-1.16%"
"07/01/1995","111.68","111.68","111.68","111.68","","-0.34%"
"06/01/1995","112.06","112.06","112.06","112.06","","-1.50%"
"05/01/1995","113.77","113.77","113.77","113.77","","6.56%"
"04/01/1995","106.77","106.77","106.77","106.77","","2.77%"
"03/01/1995","103.89","103.89","103.89","103.89","","-2.26%"
"02/01/1995","106.29","106.29","106.29","106.29","","0.09%"
"01/01/1995","106.19","106.19","106.19","106.19","","6.19%"
"12/01/1994","100.00","100.00","100.00","100.00","","-0.04%"
"11/01/1994","100.04","100.04","100.04","100.04","","-0.51%"
"10/01/1994","100.55","100.55","100.55","100.55","","1.60%"
"09/01/1994","98.97","98.97","98.97","98.97","","-2.80%"
"08/01/1994","101.82","101.82","101.82","101.82","","-0.12%"
"07/01/1994","101.94","101.94","101.94","101.94","","4.87%"
"06/01/1994","97.21","97.21","97.21","97.21","","-3.56%"
"05/01/1994","100.80","100.80","100.80","100.80","","-5.47%"
"04/01/1994","106.63","106.63","106.63","106.63","","0.87%"
"03/01/1994","105.71","105.71","105.71","105.71","","-5.45%"
"02/01/1994","111.80","111.80","111.80","111.80","","-6.14%"
"01/01/1994","119.11","119.11","119.11","119.11","","-1.33%"
"12/01/1993","120.71","120.71","120.71","120.71","","0.76%"
"11/01/1993","119.80","119.80","119.80","119.80","","-5.87%"
"10/01/1993","127.27","127.27","127.27","127.27","","-2.30%"
"09/01/1993","130.27","130.27","130.27","130.27","","-1.36%"
"08/01/1993","132.06","132.06","132.06","132.06","","3.34%"
"07/01/1993","127.79","127.79","127.79","127.79","","1.93%"
"06/01/1993","125.37","125.37","125.37","125.37","","3.04%"
"05/01/1993","121.67","121.67","121.67","121.67","","-0.68%"
"04/01/1993","122.50","122.50","122.50","122.50","","-0.57%"
"03/01/1993","123.20","123.20","123.20","123.20","","0.93%"
"02/01/1993","122.06","122.06","122.06","122.06","","5.99%"
"01/01/1993","115.16","115.16","115.16","115.16","","2.88%"
"12/01/1992","111.94","111.94","111.94","111.94","","2.18%"
"11/01/1992","109.55","109.55","109.55","109.55","","-0.99%"
"10/01/1992","110.64","110.64","110.64","110.64","","-0.74%"
"09/01/1992","111.46","111.46","111.46","111.46","","0.20%"
"08/01/1992","111.24","111.24","111.24","111.24","","-1.94%"
"07/01/1992","113.44","113.44","113.44","113.44","","6.65%"
"06/01/1992","106.37","106.37","106.37","106.37","","-0.07%"
"05/01/1992","106.44","106.44","106.44","106.44","","2.22%"
"04/01/1992","104.13","104.13","104.13","104.13","","2.56%"
"03/01/1992","101.53","101.53","101.53","101.53","","-0.79%"
"02/01/1992","102.34","102.34","102.34","102.34","","-2.24%"
"01/01/1992","104.68","104.68","104.68","104.68","","-6.16%"
"12/01/1991","111.55","111.55","111.55","111.55","","4.46%"
"11/01/1991","106.79","106.79","106.79","106.79","","1.42%"
"10/01/1991","105.30","105.30","105.30","105.30","","1.17%"
"09/01/1991","104.08","104.08","104.08","104.08","","3.36%"
"08/01/1991","100.70","100.70","100.70","100.70","","2.80%"
"07/01/1991","97.96","97.96","97.96","97.96","","3.80%"
"06/01/1991","94.37","94.37","94.37","94.37","","-3.02%"
"05/01/1991","97.31","97.31","97.31","97.31","","-0.59%"
"04/01/1991","97.89","97.89","97.89","97.89","","-1.01%"
